Unnamed: 0,EmployeeNumber,Attrition,Age,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
790,791,No,33,Travel_Rarely,654,Research & Development,5,3,Life Sciences,4,Male,34,2,3,Healthcare Representative,4,Divorced,7119.0,21214,4,Y,No,15,3,3,80,1,9,2,3,3,2,1,2
791,792,Yes,35,Travel_Rarely,1204,Sales,4,3,Technical Degree,4,Male,86,3,3,Sales Executive,1,Single,9582.0,10333,0,Y,Yes,22,4,1,80,0,9,2,3,8,7,4,7
792,793,Yes,33,Travel_Frequently,827,Research & Development,29,4,Medical,1,Female,54,2,2,Research Scientist,3,Single,4508.0,3129,1,Y,No,22,4,2,80,0,14,4,3,13,7,3,8
793,794,No,28,Travel_Rarely,895,Research & Development,15,2,Life Sciences,1,Male,50,3,1,,3,Divorced,2207.0,22482,1,Y,No,16,3,4,80,1,4,5,2,4,2,2,2
794,795,No,34,Travel_Frequently,618,Research & Development,3,1,Life Sciences,1,Male,45,3,2,Healthcare Representative,4,Single,7756.0,22266,0,Y,No,17,3,3,80,0,7,1,2,6,2,0,4
795,796,No,37,Travel_Rarely,309,Sales,10,4,Life Sciences,4,Female,88,2,2,Sales Executive,4,Divorced,6694.0,24223,2,Y,Yes,14,3,3,80,3,8,5,3,1,0,0,0
796,797,Yes,25,Travel_Rarely,1219,Research & Development,4,1,Technical Degree,4,Male,32,3,1,Laboratory Technician,4,Married,3691.0,4605,1,Y,Yes,15,3,2,80,1,7,3,4,7,7,5,6
797,798,Yes,26,Travel_Rarely,1330,Research & Development,21,3,Medical,1,Male,37,3,1,Laboratory Technician,3,Divorced,2377.0,19373,1,Y,No,20,4,3,80,1,1,0,2,1,1,0,0
798,799,Yes,33,Travel_Rarely,1017,Research & Development,25,3,Medical,1,Male,55,2,1,,2,Single,2313.0,2993,4,Y,Yes,20,4,2,80,0,5,0,3,2,2,2,2
799,800,No,42,Travel_Rarely,469,Research & Development,2,2,Medical,4,Male,35,3,4,Manager,1,Married,17665.0,14399,0,Y,No,17,3,4,80,1,23,3,3,22,6,13,7
800,801,Yes,28,Travel_Frequently,1009,Research & Development,1,3,Medical,1,Male,45,2,1,Laboratory Technician,2,Divorced,2596.0,7160,1,Y,No,15,3,1,80,2,1,2,3,1,0,0,0
801,802,Yes,50,Travel_Frequently,959,Sales,1,4,Other,4,Male,81,3,2,Sales Executive,3,Single,4728.0,17251,3,Y,Yes,14,3,4,80,0,5,4,3,0,0,0,0
802,803,No,33,Travel_Frequently,970,Sales,7,3,Life Sciences,4,Female,30,3,2,Sales Executive,2,Married,4302.0,13401,0,Y,No,17,3,3,80,1,4,3,3,3,2,0,2
803,804,No,34,Non-Travel,697,Research & Development,3,4,Life Sciences,3,Male,40,2,1,Research Scientist,4,Married,2979.0,22478,3,Y,No,17,3,4,80,3,6,2,3,0,0,0,0
804,805,No,48,Non-Travel,1262,Research & Development,1,4,Medical,1,Male,35,4,4,Manager,4,Single,,16154,2,Y,No,22,4,3,80,0,27,3,2,5,4,2,1
805,806,No,45,Non-Travel,1050,Sales,9,4,Life Sciences,2,Female,65,2,2,Sales Executive,3,Married,5593.0,17970,1,Y,No,13,3,4,80,1,15,2,3,15,10,4,12
806,807,No,52,Travel_Rarely,994,Research & Development,7,4,Life Sciences,2,Male,87,3,3,Healthcare Representative,2,Single,,15322,7,Y,No,19,3,4,80,0,18,4,3,8,6,4,0
807,808,No,38,Travel_Rarely,770,Sales,10,4,Marketing,3,Male,73,2,3,Sales Executive,3,Divorced,8740.0,5569,0,Y,Yes,14,3,2,80,2,9,2,3,8,7,2,7
808,809,No,29,Travel_Rarely,1107,Research & Development,28,4,Life Sciences,3,Female,93,3,1,,4,Divorced,2514.0,26968,4,Y,No,22,4,1,80,1,11,1,3,7,5,1,7
809,810,No,28,Travel_Rarely,950,Research & Development,3,3,Medical,4,Female,93,3,3,Manufacturing Director,2,Divorced,7655.0,8039,0,Y,No,17,3,2,80,3,10,3,2,9,7,1,7
810,811,No,46,Travel_Rarely,406,Sales,3,1,Marketing,1,Male,52,3,4,,3,Married,17465.0,15596,3,Y,No,12,3,4,80,1,23,3,3,12,9,4,9
811,812,No,38,Travel_Rarely,130,Sales,2,2,Marketing,4,Male,32,3,3,Sales Executive,2,Single,7351.0,20619,7,Y,No,16,3,3,80,0,10,2,3,1,0,0,0
812,813,No,43,Travel_Frequently,1082,Research & Development,27,3,Life Sciences,3,Female,83,3,3,Manufacturing Director,1,Married,,11535,8,Y,No,11,3,3,80,1,18,1,3,8,7,0,1
813,814,Yes,39,Travel_Frequently,203,Research & Development,2,3,Life Sciences,1,Male,84,3,4,Healthcare Representative,4,Divorced,12169.0,13547,7,Y,No,11,3,4,80,3,21,4,3,18,7,11,5
814,815,No,40,Travel_Rarely,1308,Research & Development,14,3,Medical,3,Male,44,2,5,Research Director,3,Single,19626.0,17544,1,Y,No,14,3,1,80,0,21,2,4,20,7,4,9
815,816,No,21,Travel_Rarely,984,Research & Development,1,1,Technical Degree,4,Female,70,2,1,Research Scientist,2,Single,,25326,1,Y,Yes,11,3,3,80,0,2,6,4,2,2,2,2
816,817,No,39,Non-Travel,439,Research & Development,9,3,Life Sciences,3,Male,70,3,2,Laboratory Technician,2,Single,6782.0,8770,9,Y,No,15,3,3,80,0,9,2,2,5,4,0,3
817,818,No,36,Non-Travel,217,Research & Development,18,4,Life Sciences,1,Male,78,3,2,,4,Single,7779.0,23238,2,Y,No,20,4,1,80,0,18,0,3,11,9,0,9
818,819,No,31,Travel_Frequently,793,Sales,20,3,Life Sciences,3,Male,67,4,1,Sales Representative,4,Married,2791.0,21981,0,Y,No,12,3,1,80,1,3,4,3,2,2,2,2
819,820,No,28,Travel_Rarely,1451,Research & Development,2,1,Life Sciences,1,Male,67,2,1,,2,Married,3201.0,19911,0,Y,No,17,3,1,80,0,6,2,1,5,3,0,4
820,821,No,35,Travel_Frequently,1182,Sales,11,2,Marketing,4,Male,54,3,2,,4,Divorced,4968.0,18500,1,Y,No,11,3,4,80,1,5,3,3,5,2,0,2
821,822,No,49,Travel_Rarely,174,Sales,8,4,Technical Degree,4,Male,56,2,4,Sales Executive,2,Married,13120.0,11879,6,Y,No,17,3,2,80,1,22,3,3,9,8,2,3
822,823,No,34,Travel_Frequently,1003,Research & Development,2,2,Life Sciences,4,Male,95,3,2,Manufacturing Director,3,Single,4033.0,15834,2,Y,No,11,3,4,80,0,5,3,2,3,2,0,2
823,824,No,29,Travel_Frequently,490,Research & Development,10,3,Life Sciences,4,Female,61,3,1,Research Scientist,2,Divorced,3291.0,17940,0,Y,No,14,3,4,80,2,8,2,2,7,5,1,1
824,825,No,42,Travel_Rarely,188,Research & Development,29,3,Medical,2,Male,56,1,2,Laboratory Technician,4,Single,4272.0,9558,4,Y,No,19,3,1,80,0,16,3,3,1,0,0,0
825,826,No,29,Travel_Rarely,718,Research & Development,8,1,Medical,2,Male,79,2,2,,4,Married,5056.0,17689,1,Y,Yes,15,3,3,80,1,10,2,2,10,7,1,2
826,827,No,38,Travel_Rarely,433,Human Resources,1,3,Human Resources,3,Male,37,4,1,Human Resources,3,Married,2844.0,6004,1,Y,No,13,3,4,80,1,7,2,4,7,6,5,0
827,828,No,28,Travel_Frequently,773,Research & Development,6,3,Life Sciences,3,Male,39,2,1,Research Scientist,3,Divorced,,22088,1,Y,Yes,14,3,4,80,1,3,2,3,3,1,0,2
828,829,Yes,18,Non-Travel,247,Research & Development,8,1,Medical,3,Male,80,3,1,Laboratory Technician,3,Single,1904.0,13556,1,Y,No,12,3,4,80,0,0,0,3,0,0,0,0
829,830,Yes,33,Travel_Rarely,603,Sales,9,4,Marketing,1,Female,77,3,2,Sales Executive,1,Single,8224.0,18385,0,Y,Yes,17,3,1,80,0,6,3,3,5,2,0,3
830,831,No,41,Travel_Rarely,167,Research & Development,12,4,Life Sciences,2,Male,46,3,1,Laboratory Technician,4,Married,4766.0,9051,3,Y,Yes,11,3,1,80,1,6,4,3,1,0,0,0
831,832,Yes,31,Travel_Frequently,874,Research & Development,15,3,Medical,3,Male,72,3,1,Laboratory Technician,3,Married,2610.0,6233,1,Y,No,12,3,3,80,1,2,5,2,2,2,2,2
832,833,No,37,Travel_Rarely,367,Research & Development,25,2,Medical,3,Female,52,2,2,,4,Divorced,5731.0,17171,7,Y,No,13,3,3,80,2,9,2,3,6,2,1,3
833,834,No,27,Travel_Rarely,199,Research & Development,6,3,Life Sciences,4,Male,55,2,1,Research Scientist,3,Married,,7950,1,Y,No,13,3,3,80,1,4,0,3,4,2,2,2
834,835,No,34,Travel_Rarely,1400,Sales,9,1,Life Sciences,2,Female,70,3,2,Sales Executive,3,Married,,5829,1,Y,No,20,4,1,80,0,6,3,2,6,5,1,3
835,836,No,35,Travel_Rarely,528,Human Resources,8,4,Technical Degree,3,Male,100,3,1,Human Resources,3,Single,4323.0,7108,1,Y,No,17,3,2,80,0,6,2,1,5,4,1,4
836,837,Yes,29,Travel_Rarely,408,Sales,23,1,Life Sciences,4,Female,45,2,3,Sales Executive,1,Married,7336.0,11162,1,Y,No,13,3,1,80,1,11,3,1,11,8,3,10
837,838,No,40,Travel_Frequently,593,Research & Development,9,4,Medical,2,Female,88,3,3,Research Director,3,Single,13499.0,13782,9,Y,No,17,3,3,80,0,20,3,2,18,7,2,13
838,839,Yes,42,Travel_Frequently,481,Sales,12,3,Life Sciences,3,Male,44,3,4,Sales Executive,1,Single,13758.0,2447,0,Y,Yes,12,3,2,80,0,22,2,2,21,9,13,14
839,840,No,42,Travel_Rarely,647,Sales,4,4,Marketing,2,Male,45,3,2,,1,Single,5155.0,2253,7,Y,No,13,3,4,80,0,9,3,4,6,4,1,5
840,841,No,35,Travel_Rarely,982,Research & Development,1,4,Medical,4,Male,58,2,1,,3,Married,2258.0,16340,6,Y,No,12,3,2,80,1,10,2,3,8,0,1,7
841,842,No,24,Travel_Rarely,477,Research & Development,24,3,Medical,4,Male,49,3,1,Laboratory Technician,2,Single,,6409,8,Y,No,22,4,4,80,0,6,2,3,4,3,1,2
842,843,Yes,28,Travel_Rarely,1485,Research & Development,12,1,Life Sciences,3,Female,79,3,1,Laboratory Technician,4,Married,2515.0,22955,1,Y,Yes,11,3,4,80,0,1,4,2,1,1,0,0
843,844,No,26,Travel_Rarely,1384,Research & Development,3,4,Medical,1,Male,82,4,1,Laboratory Technician,4,Married,,13421,1,Y,No,22,4,2,80,1,8,2,3,8,7,0,7
844,845,No,30,Travel_Rarely,852,Sales,10,3,Marketing,3,Male,72,2,2,Sales Executive,3,Married,6578.0,2706,1,Y,No,18,3,1,80,1,10,3,3,10,3,1,4
845,846,No,40,Travel_Frequently,902,Research & Development,26,2,Medical,3,Female,92,2,2,Research Scientist,4,Married,4422.0,21203,3,Y,Yes,13,3,4,80,1,16,3,1,1,1,0,0
846,847,No,35,Travel_Rarely,819,Research & Development,2,3,Life Sciences,3,Male,44,2,3,,2,Divorced,10274.0,19588,2,Y,No,18,3,2,80,1,15,2,4,7,7,6,4
847,848,No,34,Travel_Frequently,669,Research & Development,1,3,Medical,4,Male,97,2,2,Healthcare Representative,1,Single,5343.0,25755,0,Y,No,20,4,3,80,0,14,3,3,13,9,4,9
848,849,No,35,Travel_Frequently,636,Research & Development,4,4,Other,4,Male,47,2,1,Laboratory Technician,4,Married,,26537,1,Y,No,13,3,2,80,1,2,2,4,2,2,2,2
849,850,Yes,43,Travel_Rarely,1372,Sales,9,3,Marketing,1,Female,85,1,2,Sales Executive,3,Single,5346.0,9489,8,Y,No,13,3,2,80,0,7,2,2,4,3,1,3
850,851,No,32,Non-Travel,862,Sales,2,1,Life Sciences,3,Female,76,3,1,Sales Representative,1,Divorced,2827.0,14947,1,Y,No,12,3,3,80,3,1,3,3,1,0,0,0
851,852,No,56,Travel_Rarely,718,Research & Development,4,4,Technical Degree,4,Female,92,3,5,,1,Divorced,19943.0,18575,4,Y,No,13,3,4,80,1,28,2,3,5,2,4,2
852,853,No,29,Travel_Rarely,1401,Research & Development,6,1,Medical,2,Female,54,3,1,Laboratory Technician,4,Married,3131.0,26342,1,Y,No,13,3,1,80,1,10,5,3,10,8,0,8
853,854,No,19,Travel_Rarely,645,Research & Development,9,2,Life Sciences,3,Male,54,3,1,Research Scientist,1,Single,2552.0,7172,1,Y,No,25,4,3,80,0,1,4,3,1,1,0,0
854,855,No,45,Travel_Rarely,1457,Research & Development,7,3,Medical,1,Female,83,3,1,Research Scientist,3,Married,4477.0,20100,4,Y,Yes,19,3,3,80,1,7,2,2,3,2,0,2
855,856,No,37,Travel_Rarely,977,Research & Development,1,3,Life Sciences,4,Female,56,2,2,Manufacturing Director,4,Married,6474.0,9961,1,Y,No,13,3,2,80,1,14,2,2,14,8,3,11
856,857,No,20,Travel_Rarely,805,Research & Development,3,3,Life Sciences,1,Male,87,2,1,Laboratory Technician,3,Single,,12828,1,Y,No,12,3,1,80,0,2,2,2,2,2,1,2
857,858,Yes,44,Travel_Rarely,1097,Research & Development,10,4,Life Sciences,3,Male,96,3,1,Research Scientist,3,Single,2936.0,10826,1,Y,Yes,11,3,3,80,0,6,4,3,6,4,0,2
858,859,No,53,Travel_Rarely,1223,Research & Development,7,2,Medical,4,Female,50,3,5,Manager,3,Divorced,18606.0,18640,3,Y,No,18,3,2,80,1,26,6,3,7,7,4,7
859,860,No,29,Travel_Rarely,942,Research & Development,15,1,Life Sciences,2,Female,69,1,1,Research Scientist,4,Married,,26933,0,Y,Yes,18,3,1,80,1,6,2,2,5,4,1,3
860,861,Yes,22,Travel_Frequently,1256,Research & Development,3,4,Life Sciences,3,Male,48,2,1,Research Scientist,4,Married,2853.0,4223,0,Y,Yes,11,3,2,80,1,1,5,3,0,0,0,0
861,862,No,46,Travel_Rarely,1402,Sales,2,3,Marketing,3,Female,69,3,4,Manager,1,Married,17048.0,24097,8,Y,No,23,4,1,80,0,28,2,3,26,15,15,9
862,863,No,44,Non-Travel,111,Research & Development,17,3,Life Sciences,4,Male,74,1,1,Research Scientist,3,Single,2290.0,4279,2,Y,No,13,3,4,80,0,6,3,3,0,0,0,0
863,864,No,33,Travel_Rarely,147,Human Resources,2,3,Human Resources,2,Male,99,3,1,Human Resources,3,Married,3600.0,8429,1,Y,No,13,3,4,80,1,5,2,3,5,4,1,4
864,865,Yes,41,Non-Travel,906,Research & Development,5,2,Life Sciences,1,Male,95,2,1,Research Scientist,1,Divorced,2107.0,20293,6,Y,No,17,3,1,80,1,5,2,1,1,0,0,0
865,866,No,30,Travel_Rarely,1329,Sales,29,4,Life Sciences,3,Male,61,3,2,Sales Executive,1,Divorced,,13192,8,Y,No,19,3,3,80,3,8,3,3,4,3,0,3
866,867,No,40,Travel_Frequently,1184,Sales,2,4,Medical,2,Male,62,3,2,Sales Executive,2,Married,4327.0,25440,5,Y,No,12,3,4,80,3,5,2,3,0,0,0,0
867,868,No,50,Travel_Frequently,1421,Research & Development,2,3,Medical,4,Female,30,3,4,Manager,1,Married,,9490,2,Y,No,22,4,3,80,1,32,3,3,2,2,2,2
868,869,No,28,Travel_Rarely,1179,Research & Development,19,4,Medical,4,Male,78,2,1,,1,Married,,12449,1,Y,No,12,3,3,80,3,6,2,3,6,5,3,3
869,870,No,46,Travel_Rarely,1450,Research & Development,15,2,Life Sciences,4,Male,52,3,5,Research Director,2,Married,19081.0,10849,5,Y,No,11,3,1,80,1,25,2,3,4,2,0,3
870,871,No,35,Travel_Rarely,1361,Sales,17,4,Life Sciences,3,Male,94,3,2,Sales Executive,1,Married,,21026,3,Y,Yes,15,3,4,80,3,15,2,3,7,7,1,7
871,872,Yes,24,Travel_Rarely,984,Research & Development,17,2,Life Sciences,4,Female,97,3,1,Laboratory Technician,2,Married,2210.0,3372,1,Y,No,13,3,1,80,1,1,3,1,1,0,0,0
872,873,No,33,Travel_Frequently,1146,Sales,25,3,Medical,2,Female,82,3,2,Sales Executive,3,Married,4539.0,4905,1,Y,No,12,3,1,80,1,10,3,2,10,7,0,1
873,874,No,36,Travel_Rarely,917,Research & Development,6,4,Life Sciences,3,Male,60,1,1,,3,Divorced,2741.0,6865,1,Y,No,14,3,3,80,1,7,4,3,7,7,1,7
874,875,No,30,Travel_Rarely,853,Research & Development,7,4,Life Sciences,3,Male,49,3,2,,3,Divorced,3491.0,11309,1,Y,No,13,3,1,80,3,10,4,2,10,7,8,9
875,876,No,44,Travel_Rarely,200,Research & Development,29,4,Other,4,Male,32,3,2,Research Scientist,4,Single,,7744,1,Y,No,25,4,2,80,0,20,3,3,20,11,13,17
876,877,No,20,Travel_Rarely,654,Sales,21,3,Marketing,3,Male,43,4,1,,4,Single,2678.0,5050,1,Y,No,17,3,4,80,0,2,2,3,2,1,2,2
877,878,No,46,Travel_Rarely,150,Research & Development,2,4,Technical Degree,4,Male,60,3,2,,4,Divorced,7379.0,17433,2,Y,No,11,3,3,80,1,12,3,2,6,3,1,4
878,879,No,42,Non-Travel,179,Human Resources,2,5,Medical,4,Male,79,4,2,Human Resources,1,Married,6272.0,12858,7,Y,No,16,3,1,80,1,10,3,4,4,3,0,3
879,880,No,60,Travel_Rarely,696,Sales,7,4,Marketing,2,Male,52,4,2,,4,Divorced,5220.0,10893,0,Y,Yes,18,3,2,80,1,12,3,3,11,7,1,9
880,881,No,32,Travel_Frequently,116,Research & Development,13,3,Other,3,Female,77,2,1,Laboratory Technician,2,Married,2743.0,7331,1,Y,No,20,4,3,80,1,2,2,3,2,2,2,2
881,882,No,32,Travel_Frequently,1316,Research & Development,2,2,Life Sciences,4,Female,38,3,2,Research Scientist,3,Single,4998.0,2338,4,Y,Yes,14,3,4,80,0,10,2,3,8,7,0,7
882,883,No,36,Travel_Rarely,363,Research & Development,1,3,Technical Degree,3,Female,77,1,3,Manufacturing Director,1,Divorced,10252.0,4235,2,Y,Yes,21,4,3,80,1,17,2,3,7,7,7,7
883,884,No,33,Travel_Rarely,117,Research & Development,9,3,Medical,1,Male,60,3,1,Research Scientist,4,Married,,6311,0,Y,No,13,3,2,80,1,15,5,3,14,10,4,10
884,885,No,40,Travel_Rarely,107,Sales,10,3,Technical Degree,2,Female,84,2,2,Sales Executive,2,Divorced,6852.0,11591,7,Y,No,12,3,2,80,1,7,2,4,5,1,1,3
885,886,No,25,Travel_Rarely,1356,Sales,10,4,Life Sciences,3,Male,57,3,2,Sales Executive,4,Single,4950.0,20623,0,Y,No,14,3,2,80,0,5,4,3,4,3,1,1
886,887,No,30,Travel_Rarely,1465,Research & Development,1,3,Medical,4,Male,63,3,1,,2,Married,3579.0,9369,0,Y,Yes,21,4,1,80,1,12,2,3,11,9,5,7
887,888,No,42,Travel_Frequently,458,Research & Development,26,5,Medical,1,Female,60,3,3,Research Director,1,Married,13191.0,23281,3,Y,Yes,17,3,3,80,0,20,6,3,1,0,0,0
888,889,No,35,Non-Travel,1212,Sales,8,2,Marketing,3,Female,78,2,3,,4,Married,10377.0,13755,4,Y,Yes,11,3,2,80,1,16,6,2,13,2,4,12
889,890,No,27,Travel_Rarely,1103,Research & Development,14,3,Life Sciences,1,Male,42,3,1,,1,Married,2235.0,14377,1,Y,Yes,14,3,4,80,2,9,3,2,9,7,6,8
890,891,No,54,Travel_Frequently,966,Research & Development,1,4,Life Sciences,4,Female,53,3,3,Manufacturing Director,3,Divorced,10502.0,9659,7,Y,No,17,3,1,80,1,33,2,1,5,4,1,4
891,892,No,44,Travel_Rarely,1117,Research & Development,2,1,Life Sciences,1,Female,72,4,1,Research Scientist,4,Married,2011.0,19982,1,Y,No,13,3,4,80,1,10,5,3,10,5,7,7
892,893,Yes,19,Non-Travel,504,Research & Development,10,3,Medical,1,Female,96,2,1,Research Scientist,2,Single,,6148,1,Y,Yes,25,4,2,80,0,1,2,4,1,1,0,0
893,894,No,29,Travel_Rarely,1010,Research & Development,1,3,Life Sciences,1,Female,97,3,1,Research Scientist,4,Divorced,,5598,1,Y,No,15,3,1,80,3,3,5,3,3,2,1,2
894,895,No,54,Travel_Rarely,685,Research & Development,3,3,Life Sciences,4,Male,85,3,4,Research Director,4,Married,17779.0,23474,3,Y,No,14,3,1,80,0,36,2,3,10,9,0,9
895,896,No,31,Travel_Rarely,1332,Research & Development,11,2,Medical,3,Male,80,3,2,,1,Married,,17089,1,Y,Yes,12,3,4,80,0,6,2,2,6,5,0,1
896,897,No,31,Travel_Rarely,1062,Research & Development,24,3,Medical,3,Female,96,2,2,Healthcare Representative,1,Single,6812.0,17198,1,Y,No,19,3,2,80,0,10,2,3,10,9,1,8
897,898,No,59,Travel_Rarely,326,Sales,3,3,Life Sciences,3,Female,48,2,2,,4,Single,,16490,5,Y,No,17,3,4,80,0,13,2,3,6,1,0,5
898,899,No,43,Travel_Rarely,920,Research & Development,3,3,Life Sciences,3,Male,96,1,5,Research Director,4,Married,19740.0,18625,3,Y,No,14,3,2,80,1,25,2,3,8,7,0,7
899,900,No,49,Travel_Rarely,1098,Research & Development,4,2,Medical,1,Male,85,2,5,Manager,3,Married,,12124,2,Y,No,13,3,3,80,1,23,2,4,1,0,0,0
900,901,No,36,Travel_Frequently,469,Research & Development,3,3,Technical Degree,3,Male,46,3,1,Research Scientist,2,Married,3692.0,9256,1,Y,No,12,3,3,80,0,12,2,2,11,10,0,7
901,902,No,48,Travel_Rarely,969,Research & Development,2,2,Technical Degree,4,Male,76,4,1,,2,Single,2559.0,16620,5,Y,No,11,3,3,80,0,7,4,2,1,0,0,0
902,903,No,27,Travel_Rarely,1167,Research & Development,4,2,Life Sciences,1,Male,76,3,1,Research Scientist,3,Divorced,2517.0,3208,1,Y,No,11,3,2,80,3,5,2,3,5,3,0,3
903,904,No,29,Travel_Rarely,1329,Research & Development,7,3,Life Sciences,3,Male,82,3,2,,4,Divorced,6623.0,4204,1,Y,Yes,11,3,2,80,2,6,2,3,6,0,1,0
904,905,No,48,Travel_Rarely,715,Research & Development,1,3,Life Sciences,4,Male,76,2,5,Research Director,4,Single,18265.0,8733,6,Y,No,12,3,3,80,0,25,3,4,1,0,0,0
905,906,No,29,Travel_Rarely,694,Research & Development,1,3,Life Sciences,4,Female,87,2,4,Research Director,4,Divorced,16124.0,3423,3,Y,No,14,3,2,80,2,9,2,2,7,7,1,7
906,907,No,34,Travel_Rarely,1320,Research & Development,20,3,Technical Degree,3,Female,89,4,1,Research Scientist,3,Married,2585.0,21643,0,Y,No,17,3,4,80,0,2,5,2,1,0,0,0
907,908,No,44,Travel_Rarely,1099,Sales,5,3,Marketing,2,Male,88,3,5,,2,Married,,8751,7,Y,No,11,3,3,80,1,26,5,3,22,9,3,10
908,909,No,33,Travel_Rarely,536,Sales,10,5,Marketing,4,Male,82,4,3,Sales Executive,3,Divorced,8380.0,21708,0,Y,Yes,14,3,4,80,2,10,3,3,9,8,0,8
909,910,No,19,Travel_Rarely,265,Research & Development,25,3,Life Sciences,2,Female,57,4,1,,4,Single,2994.0,21221,1,Y,Yes,12,3,4,80,0,1,2,3,1,0,0,1
910,911,No,23,Travel_Rarely,373,Research & Development,1,2,Life Sciences,4,Male,47,3,1,Research Scientist,3,Married,1223.0,16901,1,Y,No,22,4,4,80,1,1,2,3,1,0,0,1
911,912,Yes,25,Travel_Frequently,599,Sales,24,1,Life Sciences,3,Male,73,1,1,Sales Representative,4,Single,1118.0,8040,1,Y,Yes,14,3,4,80,0,1,4,3,1,0,1,0
912,913,No,26,Travel_Rarely,583,Research & Development,4,2,Life Sciences,3,Male,53,3,1,Research Scientist,4,Single,2875.0,9973,1,Y,Yes,20,4,2,80,0,8,2,2,8,5,2,2
913,914,Yes,45,Travel_Rarely,1449,Sales,2,3,Marketing,1,Female,94,1,5,Manager,2,Single,18824.0,2493,2,Y,Yes,16,3,1,80,0,26,2,3,24,10,1,11
914,915,No,55,Non-Travel,177,Research & Development,8,1,Medical,4,Male,37,2,4,,2,Divorced,13577.0,25592,1,Y,Yes,15,3,4,80,1,34,3,3,33,9,15,0
915,916,Yes,21,Travel_Frequently,251,Research & Development,10,2,Life Sciences,1,Female,45,2,1,Laboratory Technician,3,Single,2625.0,25308,1,Y,No,20,4,3,80,0,2,2,1,2,2,2,2
916,917,No,46,Travel_Rarely,168,Sales,4,2,Marketing,4,Female,33,2,5,Manager,2,Married,18789.0,9946,2,Y,No,14,3,3,80,1,26,2,3,11,4,0,8
917,918,No,34,Travel_Rarely,131,Sales,2,3,Marketing,3,Female,86,3,2,Sales Executive,1,Single,4538.0,6039,0,Y,Yes,12,3,4,80,0,4,3,3,3,2,0,2
918,919,No,51,Travel_Frequently,237,Sales,9,3,Life Sciences,4,Male,83,3,5,Manager,2,Divorced,19847.0,19196,4,Y,Yes,24,4,1,80,1,31,5,2,29,10,11,10
919,920,No,59,Travel_Rarely,1429,Research & Development,18,4,Medical,4,Male,67,3,3,Manufacturing Director,4,Single,10512.0,20002,6,Y,No,12,3,4,80,0,25,6,2,9,7,5,4
920,921,No,34,Travel_Frequently,135,Research & Development,19,3,Medical,3,Female,46,3,2,Laboratory Technician,2,Divorced,4444.0,22534,4,Y,No,13,3,3,80,2,15,2,4,11,8,5,10
921,922,No,28,Travel_Frequently,791,Research & Development,1,4,Medical,4,Male,44,3,1,Laboratory Technician,3,Single,2154.0,6842,0,Y,Yes,11,3,3,80,0,5,2,2,4,2,0,2
922,923,No,44,Travel_Rarely,1199,Research & Development,4,2,Life Sciences,3,Male,92,4,5,Manager,1,Divorced,19190.0,17477,1,Y,No,14,3,4,80,2,26,4,2,25,9,14,13
923,924,No,34,Travel_Frequently,648,Human Resources,11,3,Life Sciences,3,Male,56,2,2,Human Resources,2,Married,4490.0,21833,4,Y,No,11,3,4,80,2,14,5,4,10,9,1,8
924,925,No,35,Travel_Rarely,735,Research & Development,6,1,Life Sciences,3,Male,66,3,1,,3,Married,3506.0,6020,0,Y,Yes,14,3,4,80,0,4,3,3,3,2,2,2
925,926,No,42,Travel_Rarely,603,Research & Development,7,4,Medical,2,Female,78,4,2,Research Scientist,2,Married,2372.0,5628,6,Y,Yes,16,3,4,80,0,18,2,3,1,0,0,0
926,927,No,43,Travel_Rarely,531,Sales,4,4,Marketing,4,Female,56,2,3,Sales Executive,4,Single,10231.0,20364,3,Y,No,14,3,4,80,0,23,3,4,21,7,15,17
927,928,No,36,Travel_Rarely,429,Research & Development,2,4,Life Sciences,3,Female,53,3,2,Manufacturing Director,2,Single,5410.0,2323,9,Y,Yes,11,3,4,80,0,18,2,3,16,14,5,12
928,929,Yes,44,Travel_Rarely,621,Research & Development,15,3,Medical,1,Female,73,3,3,Healthcare Representative,4,Married,7978.0,14075,1,Y,No,11,3,4,80,1,10,2,3,10,7,0,5
929,930,No,28,Travel_Frequently,193,Research & Development,2,3,Life Sciences,4,Male,52,2,1,Laboratory Technician,4,Married,3867.0,14222,1,Y,Yes,12,3,2,80,1,2,2,3,2,2,2,2
930,931,No,51,Travel_Frequently,968,Research & Development,6,2,Medical,2,Female,40,2,1,Laboratory Technician,3,Single,2838.0,4257,0,Y,No,14,3,2,80,0,8,6,2,7,0,7,7
931,932,No,30,Non-Travel,879,Research & Development,9,2,Medical,3,Female,72,3,2,Manufacturing Director,3,Single,4695.0,12858,7,Y,Yes,18,3,3,80,0,10,3,3,8,4,1,7
