EmployeeNumber,Attrition,Age,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
1845,No,28.0,Travel_Rarely,304,Sales,9,4,Life Sciences,2,Male,92,3,2,Sales Executive,4,Single,5253.0,20750,1,Y,No,16,3,4,80,0,7.0,1,3,7,5,0,7
1846,No,49.0,Travel_Rarely,1261,Research & Development,7,3,Other,2,Male,31,2,3,Healthcare Representative,3,Single,,12066,8,Y,No,24,4,3,80,0,26.0,2,3,5,2,0,0
1847,No,,Travel_Rarely,1178,Sales,14,2,Life Sciences,3,Female,87,3,2,Sales Executive,4,Married,4936.0,14862,4,Y,No,11,3,3,80,1,18.0,2,2,7,7,0,7
1848,No,36.0,Travel_Rarely,329,Research & Development,2,3,,4,Female,96,3,1,Research Scientist,3,Married,,11868,4,Y,No,13,3,2,80,1,,3,3,2,2,2,2
1849,Yes,34.0,Non-Travel,1362,Sales,19,3,Marketing,1,Male,67,4,2,Sales Executive,4,Single,5304.0,4652,8,Y,Yes,13,3,2,80,0,9.0,3,2,5,2,0,4
1850,No,55.0,Travel_Rarely,1311,Research & Development,2,3,Life Sciences,3,Female,97,3,4,Manager,4,Single,,23258,2,Y,Yes,13,3,3,80,0,30.0,2,3,5,4,1,2
1851,No,24.0,Travel_Rarely,1371,Sales,10,4,,4,Female,77,3,2,Sales Executive,3,Divorced,4260.0,5915,1,Y,Yes,12,3,4,80,1,5.0,2,4,5,2,0,3
1852,No,30.0,Travel_Rarely,202,Sales,2,1,Technical Degree,3,Male,72,3,1,Sales Representative,2,Married,2476.0,17434,1,Y,No,18,3,1,80,1,1.0,3,3,1,0,0,0
1853,Yes,26.0,Travel_Frequently,575,Research & Development,3,1,Technical Degree,3,Male,73,3,1,Research Scientist,1,Single,3102.0,6582,0,Y,No,22,4,3,80,0,7.0,2,3,6,4,0,4
1854,No,22.0,Travel_Rarely,253,Research & Development,11,3,Medical,1,Female,43,3,1,Research Scientist,2,Married,2244.0,24440,1,Y,No,13,3,4,80,1,2.0,1,3,2,1,1,2
1855,No,36.0,Travel_Rarely,164,Sales,2,2,Medical,2,Male,61,2,3,Sales Executive,3,Married,7596.0,3809,1,Y,No,13,3,2,80,2,10.0,2,3,10,9,9,0
1856,Yes,30.0,Travel_Frequently,464,Research & Development,4,3,Technical Degree,3,Male,40,3,1,Research Scientist,4,Single,2285.0,3427,9,Y,Yes,23,4,3,80,0,3.0,4,3,1,0,0,0
1857,No,,Travel_Rarely,1107,Research & Development,14,3,Life Sciences,4,Female,95,3,1,Laboratory Technician,1,Divorced,,26914,1,Y,No,12,3,3,80,1,18.0,2,2,18,7,12,17
1858,No,40.0,Travel_Rarely,759,Sales,2,2,Marketing,4,Female,46,3,2,Sales Executive,2,Divorced,5715.0,22553,7,Y,No,12,3,3,80,2,8.0,5,3,5,4,1,3
1859,No,42.0,Travel_Rarely,201,Research & Development,1,4,Life Sciences,2,Female,95,3,1,Laboratory Technician,1,Divorced,,20490,3,Y,No,16,3,2,80,1,,5,3,5,2,1,2
1860,No,,Travel_Rarely,1305,Research & Development,10,4,,3,Male,49,3,2,Manufacturing Director,2,Single,4197.0,21123,2,Y,Yes,12,3,4,80,0,18.0,2,2,1,0,0,1
1861,No,43.0,Travel_Rarely,982,Research & Development,12,3,,1,Male,59,2,4,Research Director,2,Divorced,,4345,1,Y,No,11,3,3,80,1,25.0,3,3,25,10,3,9
1862,No,,Travel_Rarely,555,Research & Development,2,3,Medical,2,Female,78,2,2,Laboratory Technician,3,Married,,13436,6,Y,No,22,4,2,80,1,20.0,3,3,1,0,0,0
1863,No,,Travel_Rarely,821,Research & Development,5,2,,1,Male,86,3,5,Research Director,1,Married,,8509,4,Y,No,11,3,3,80,1,24.0,4,2,4,2,1,2
1864,No,34.0,Non-Travel,1381,Sales,4,4,Marketing,3,Female,72,3,2,Sales Executive,3,Married,,12740,9,Y,No,15,3,1,80,1,,3,3,3,2,1,2
1865,No,31.0,Travel_Rarely,480,Research & Development,7,2,Medical,2,Female,31,3,2,Manufacturing Director,1,Married,4306.0,4156,1,Y,No,12,3,2,80,1,13.0,5,1,13,10,3,12
1866,No,43.0,Travel_Frequently,313,Research & Development,21,3,Medical,4,Male,61,3,1,Laboratory Technician,4,Married,2258.0,15238,7,Y,No,20,4,1,80,1,,1,3,3,2,1,2
1867,No,43.0,Travel_Rarely,1473,Research & Development,8,4,Other,3,Female,74,3,2,Healthcare Representative,3,Divorced,4522.0,2227,4,Y,Yes,14,3,4,80,0,8.0,3,3,5,2,0,2
1868,No,25.0,Travel_Rarely,891,Sales,4,2,Life Sciences,2,Female,99,2,2,Sales Executive,4,Single,4487.0,12090,1,Y,Yes,11,3,2,80,0,5.0,3,3,5,4,1,3
1869,No,37.0,Non-Travel,1063,Research & Development,25,5,Medical,2,Female,72,3,2,Research Scientist,3,Married,,23866,3,Y,Yes,15,3,1,80,2,15.0,2,3,13,11,10,7
1870,No,31.0,Travel_Rarely,329,Research & Development,1,2,Life Sciences,4,Male,98,2,1,Laboratory Technician,1,Married,2218.0,16193,1,Y,No,12,3,3,80,1,4.0,3,3,4,2,3,2
1871,No,39.0,Travel_Frequently,1218,Research & Development,1,1,Life Sciences,2,Male,52,3,5,Manager,3,Divorced,,8213,1,Y,Yes,14,3,3,80,1,,3,3,21,8,1,6
1872,No,56.0,Travel_Frequently,906,Sales,6,3,Life Sciences,3,Female,86,4,4,Sales Executive,1,Married,13212.0,18256,9,Y,No,11,3,4,80,3,36.0,0,2,7,7,7,7
1873,No,,Travel_Rarely,1082,Sales,12,3,Technical Degree,2,Female,83,3,2,Sales Executive,3,Single,6577.0,19558,0,Y,No,11,3,2,80,0,6.0,6,3,5,4,4,4
1874,No,,Travel_Rarely,645,Sales,1,3,,2,Male,49,4,3,Sales Executive,1,Married,8392.0,19566,1,Y,No,16,3,3,80,1,10.0,2,3,10,7,0,7
1875,No,28.0,Travel_Rarely,1300,Research & Development,17,2,Medical,3,Male,79,3,2,Laboratory Technician,1,Divorced,4558.0,13535,1,Y,No,12,3,4,80,1,10.0,2,3,10,0,1,8
1876,Yes,25.0,Travel_Rarely,688,Research & Development,3,3,,1,Male,91,3,1,Laboratory Technician,1,Married,4031.0,9396,5,Y,No,13,3,3,80,1,6.0,5,3,2,2,0,2
1877,No,52.0,Travel_Rarely,319,Research & Development,3,3,,4,Male,39,2,3,Manufacturing Director,3,Married,,19609,2,Y,Yes,14,3,3,80,0,,4,3,5,4,0,4
1878,No,45.0,Travel_Rarely,192,Research & Development,10,2,Life Sciences,1,Male,69,3,1,Research Scientist,4,Married,,9655,3,Y,No,21,4,4,80,2,,3,2,2,2,0,2
1879,No,52.0,Travel_Rarely,1490,Research & Development,4,2,Life Sciences,4,Female,30,3,4,Manager,4,Married,16555.0,10310,2,Y,No,13,3,4,80,0,,2,1,5,2,1,4
1880,No,42.0,Travel_Frequently,532,Research & Development,29,2,Life Sciences,1,Female,92,3,2,Research Scientist,3,Divorced,4556.0,12932,2,Y,No,11,3,2,80,1,19.0,3,3,5,4,0,2
1881,No,30.0,Travel_Rarely,317,Research & Development,2,3,Life Sciences,3,Female,43,1,2,Manufacturing Director,4,Single,6091.0,24793,2,Y,No,20,4,3,80,0,11.0,2,3,5,4,0,2
1882,No,,Travel_Rarely,422,Research & Development,7,3,Life Sciences,1,Female,41,3,5,Manager,1,Married,19566.0,3854,5,Y,No,11,3,4,80,0,33.0,5,1,29,8,11,10
1883,No,,Travel_Rarely,1485,Research & Development,18,3,Medical,3,Female,87,3,2,Manufacturing Director,3,Divorced,4810.0,26314,2,Y,No,14,3,3,80,1,19.0,5,2,10,7,0,8
1884,No,42.0,Travel_Frequently,1368,Research & Development,28,4,,4,Female,88,2,2,Healthcare Representative,4,Married,4523.0,4386,0,Y,No,11,3,4,80,3,7.0,4,4,6,5,0,4
1885,Yes,,Travel_Rarely,1448,Sales,1,1,Technical Degree,1,Female,62,3,1,Sales Representative,2,Single,3202.0,21972,1,Y,Yes,16,3,2,80,0,6.0,4,3,5,3,1,4
1886,Yes,34.0,Travel_Frequently,296,Sales,6,2,Marketing,4,Female,33,1,1,Sales Representative,3,Divorced,2351.0,12253,0,Y,No,16,3,4,80,1,3.0,3,2,2,2,1,0
1887,No,38.0,Travel_Frequently,1490,Research & Development,2,2,Life Sciences,4,Male,42,3,1,Laboratory Technician,4,Married,1702.0,12106,1,Y,Yes,23,4,3,80,1,1.0,3,3,1,0,0,0
1888,No,40.0,Travel_Rarely,1398,Sales,2,4,Life Sciences,3,Female,79,3,5,Manager,3,Married,18041.0,13022,0,Y,No,14,3,4,80,0,,2,3,20,15,1,12
1889,No,26.0,Travel_Rarely,1349,Research & Development,23,3,,1,Female,90,3,1,Research Scientist,4,Divorced,,3032,1,Y,No,22,4,2,80,2,3.0,3,1,3,2,0,2
1890,No,30.0,Non-Travel,1400,Research & Development,3,3,Life Sciences,3,Male,53,3,1,Laboratory Technician,4,Married,2097.0,16734,4,Y,No,15,3,3,80,1,9.0,3,1,5,3,1,4
1891,No,29.0,Travel_Rarely,986,Research & Development,3,4,Medical,2,Male,93,2,3,Research Director,3,Married,11935.0,21526,1,Y,No,18,3,3,80,0,,2,3,10,2,0,7
1892,Yes,29.0,Travel_Rarely,408,Research & Development,25,5,Technical Degree,3,Female,71,2,1,Research Scientist,2,Married,2546.0,18300,5,Y,No,16,3,2,80,0,,2,4,2,2,1,1
1893,Yes,,Travel_Rarely,489,Human Resources,2,2,Technical Degree,1,Male,52,2,1,Human Resources,4,Single,,18437,1,Y,No,12,3,3,80,0,1.0,3,4,1,0,0,0
1894,No,30.0,Non-Travel,1398,Sales,22,4,Other,3,Female,69,3,3,Sales Executive,1,Married,8412.0,2890,0,Y,No,11,3,3,80,0,10.0,3,3,9,8,7,8
1895,No,57.0,Travel_Rarely,210,Sales,29,3,Marketing,1,Male,56,2,4,Manager,4,Divorced,,22102,3,Y,No,12,3,3,80,1,32.0,3,2,1,0,0,0
1896,No,50.0,Travel_Rarely,1099,Research & Development,29,4,Life Sciences,2,Male,88,2,4,Manager,3,Married,17046.0,9314,0,Y,No,15,3,2,80,1,28.0,2,3,27,10,15,7
1897,No,,Non-Travel,1116,Research & Development,2,3,Medical,3,Female,49,3,1,Laboratory Technician,4,Single,2564.0,7181,0,Y,No,14,3,3,80,0,12.0,2,2,11,7,6,7
1898,No,60.0,Travel_Frequently,1499,Sales,28,3,Marketing,3,Female,80,2,3,Sales Executive,1,Married,10266.0,2845,4,Y,No,19,3,4,80,0,,5,4,18,13,13,11
1899,No,,Travel_Rarely,983,Research & Development,2,2,Medical,1,Female,65,3,2,Manufacturing Director,4,Divorced,,7389,5,Y,No,13,3,3,80,3,20.0,2,3,5,0,0,4
1900,No,46.0,Travel_Rarely,1009,Research & Development,2,3,Life Sciences,1,Male,51,3,4,Research Director,3,Married,17861.0,2288,6,Y,No,13,3,3,80,0,26.0,2,1,3,2,0,1
1901,No,35.0,Travel_Rarely,144,Research & Development,22,3,Life Sciences,4,Male,46,1,1,Laboratory Technician,3,Single,4230.0,19225,0,Y,No,15,3,3,80,0,6.0,2,3,5,4,4,3
1902,No,54.0,Travel_Rarely,548,Research & Development,8,4,Life Sciences,3,Female,42,3,2,Laboratory Technician,3,Single,3780.0,23428,7,Y,No,11,3,3,80,0,,3,3,1,0,0,0
1903,No,34.0,Travel_Rarely,1303,Research & Development,2,4,Life Sciences,4,Male,62,2,1,Research Scientist,3,Divorced,2768.0,8416,3,Y,No,12,3,3,80,1,14.0,3,3,7,3,5,7
1904,No,46.0,Travel_Rarely,1125,Sales,10,3,Marketing,3,Female,94,2,3,Sales Executive,4,Married,9071.0,11563,2,Y,Yes,19,3,3,80,1,15.0,3,3,3,2,1,2
1905,No,31.0,Travel_Rarely,1274,Research & Development,9,1,Life Sciences,3,Male,33,3,3,Manufacturing Director,2,Divorced,,14394,1,Y,No,25,4,4,80,1,,6,4,13,8,0,8
1906,Yes,33.0,Travel_Rarely,1277,Research & Development,15,1,Medical,2,Male,56,3,3,Manager,3,Married,,24619,7,Y,Yes,12,3,4,80,0,15.0,2,4,7,6,7,7
1907,Yes,33.0,Travel_Rarely,587,Research & Development,10,1,Medical,1,Male,38,1,1,Laboratory Technician,4,Divorced,,6705,7,Y,No,13,3,1,80,3,8.0,2,3,4,3,1,3
1908,No,30.0,Travel_Rarely,413,Sales,7,1,Marketing,4,Male,57,3,1,Sales Representative,2,Single,,18398,0,Y,No,14,3,1,80,0,,3,3,3,2,1,2
1909,No,35.0,Travel_Rarely,1276,Research & Development,16,3,,4,Male,72,3,3,Healthcare Representative,3,Married,7632.0,14295,4,Y,Yes,12,3,3,80,0,10.0,2,3,8,7,0,0
1910,Yes,,Travel_Frequently,534,Research & Development,20,3,Life Sciences,1,Male,66,3,3,Healthcare Representative,3,Married,9824.0,22908,3,Y,No,12,3,1,80,0,12.0,2,3,1,0,0,0
1911,Yes,34.0,Travel_Frequently,988,Human Resources,23,3,Human Resources,2,Female,43,3,3,Human Resources,1,Divorced,9950.0,11533,9,Y,Yes,15,3,3,80,3,11.0,2,3,3,2,0,2
1912,No,42.0,Travel_Frequently,1474,Research & Development,5,2,Other,2,Male,97,3,1,Laboratory Technician,3,Married,2093.0,9260,4,Y,No,17,3,4,80,1,8.0,4,3,2,2,2,0
1913,No,,Non-Travel,635,Sales,10,4,Medical,2,Male,32,3,3,Sales Executive,4,Single,9980.0,15318,1,Y,No,14,3,4,80,0,,3,2,10,3,9,7
1914,Yes,22.0,Travel_Frequently,1368,Research & Development,4,1,Technical Degree,3,Male,99,2,1,Laboratory Technician,3,Single,3894.0,9129,5,Y,No,16,3,3,80,0,,3,3,2,2,1,2
1915,No,48.0,Travel_Rarely,163,Sales,2,5,Marketing,2,Female,37,3,2,Sales Executive,4,Married,4051.0,19658,2,Y,No,14,3,1,80,1,14.0,2,3,9,7,6,7
1916,No,55.0,Travel_Rarely,1117,Sales,18,5,Life Sciences,1,Female,83,3,4,Manager,2,Single,,9873,3,Y,No,23,4,4,80,0,,2,3,10,9,7,7
1917,No,41.0,Non-Travel,267,Sales,10,2,Life Sciences,4,Male,56,3,2,Sales Executive,4,Single,6230.0,13430,7,Y,No,14,3,4,80,0,16.0,3,3,14,3,1,10
1918,No,35.0,Travel_Rarely,619,Sales,1,3,Marketing,2,Male,85,3,2,Sales Executive,3,Married,,18659,9,Y,No,11,3,3,80,0,15.0,2,3,11,9,6,9
1919,No,40.0,Travel_Rarely,302,Research & Development,6,3,Life Sciences,2,Female,75,3,4,Manufacturing Director,3,Single,13237.0,20364,7,Y,No,15,3,3,80,0,22.0,3,3,20,6,5,13
1920,No,39.0,Travel_Frequently,443,Research & Development,8,1,Life Sciences,3,Female,48,3,1,Laboratory Technician,3,Married,3755.0,17872,1,Y,No,11,3,1,80,1,8.0,3,3,8,3,0,7
1921,No,,Travel_Rarely,828,Sales,2,1,Life Sciences,2,Male,77,3,2,Sales Executive,4,Single,6582.0,8346,4,Y,Yes,13,3,3,80,0,10.0,2,4,6,5,0,5
1922,No,42.0,Travel_Rarely,319,Research & Development,24,3,Medical,4,Male,56,3,3,Manufacturing Director,1,Married,7406.0,6950,1,Y,Yes,21,4,4,80,1,10.0,5,2,10,9,5,8
1923,No,45.0,Travel_Rarely,561,Sales,2,3,Other,4,Male,61,3,2,Sales Executive,2,Married,4805.0,16177,0,Y,No,19,3,2,80,1,9.0,3,4,8,7,3,7
1924,Yes,26.0,Travel_Frequently,426,Human Resources,17,4,Life Sciences,2,Female,58,3,1,Human Resources,3,Divorced,2741.0,22808,0,Y,Yes,11,3,2,80,1,,2,2,7,7,1,0
1925,No,29.0,Travel_Rarely,232,Research & Development,19,3,Technical Degree,4,Male,34,3,2,Manufacturing Director,4,Divorced,4262.0,22645,4,Y,No,12,3,2,80,2,8.0,2,4,3,2,1,2
1926,No,33.0,Travel_Rarely,922,Research & Development,1,5,Medical,1,Female,95,4,4,Research Director,3,Divorced,16184.0,22578,4,Y,No,19,3,3,80,1,10.0,2,3,6,1,0,5
1927,No,31.0,Travel_Rarely,688,Sales,7,3,Life Sciences,3,Male,44,2,3,Manager,4,Divorced,11557.0,25291,9,Y,No,21,4,3,80,1,10.0,3,2,5,4,0,1
1928,Yes,18.0,Travel_Frequently,1306,Sales,5,3,Marketing,2,Male,69,3,1,Sales Representative,2,Single,,8059,1,Y,Yes,14,3,4,80,0,0.0,3,3,0,0,0,0
1929,No,40.0,Non-Travel,1094,Sales,28,3,,3,Male,58,1,3,Sales Executive,1,Divorced,10932.0,11373,3,Y,No,15,3,3,80,1,20.0,2,3,1,0,0,1
1930,No,41.0,Non-Travel,509,Research & Development,2,4,Other,1,Female,62,2,2,Healthcare Representative,3,Single,6811.0,2112,2,Y,Yes,17,3,1,80,0,10.0,3,3,8,7,0,7
1931,No,26.0,Travel_Rarely,775,Sales,29,2,,1,Male,45,3,2,Sales Executive,3,Divorced,4306.0,4267,5,Y,No,12,3,1,80,2,8.0,5,3,0,0,0,0
1932,No,,Travel_Rarely,195,Sales,1,3,,1,Female,80,3,2,Sales Executive,3,Single,4859.0,6698,1,Y,No,16,3,4,80,0,5.0,3,3,5,4,0,3
1933,No,34.0,Travel_Rarely,258,Sales,21,4,Life Sciences,4,Male,74,4,2,Sales Executive,4,Single,5337.0,19921,1,Y,No,12,3,4,80,0,,3,3,10,7,5,7
1934,Yes,26.0,Travel_Rarely,471,Research & Development,24,3,,3,Male,66,1,1,Laboratory Technician,4,Single,,23213,1,Y,Yes,18,3,2,80,0,1.0,3,1,1,0,0,0
1935,No,37.0,Travel_Rarely,799,Research & Development,1,3,Technical Degree,2,Female,59,3,3,Manufacturing Director,4,Single,7491.0,23848,4,Y,No,17,3,4,80,0,12.0,3,4,6,5,1,2
1936,No,46.0,Travel_Frequently,1034,Research & Development,18,1,Medical,1,Female,86,3,3,Healthcare Representative,3,Married,,8984,5,Y,No,11,3,4,80,0,28.0,3,2,2,2,1,2
1937,No,41.0,Travel_Rarely,1276,Sales,2,5,Life Sciences,2,Female,91,3,4,Manager,1,Married,16595.0,5626,7,Y,No,16,3,2,80,1,22.0,2,3,18,16,11,8
1938,No,,Non-Travel,142,Sales,9,4,Medical,1,Male,69,3,3,Sales Executive,2,Divorced,8834.0,24666,1,Y,No,13,3,4,80,1,9.0,6,3,9,5,7,7
1939,No,52.0,Travel_Rarely,956,Research & Development,6,2,Technical Degree,4,Male,78,3,2,Research Scientist,1,Divorced,5577.0,22087,3,Y,Yes,12,3,2,80,2,18.0,3,3,10,9,6,9
1940,Yes,32.0,Non-Travel,1474,Sales,11,4,Other,4,Male,60,4,2,Sales Executive,3,Married,4707.0,23914,8,Y,No,12,3,4,80,0,,2,3,4,2,1,2
1941,No,24.0,Travel_Frequently,535,Sales,24,3,Medical,4,Male,38,3,1,Sales Representative,4,Married,2400.0,5530,0,Y,No,13,3,3,80,2,3.0,3,3,2,2,2,1
1942,No,38.0,Travel_Rarely,1495,Research & Development,10,3,Medical,3,Female,76,3,2,Healthcare Representative,3,Married,9824.0,22174,3,Y,No,19,3,3,80,1,,4,3,1,0,0,0
1943,No,37.0,Travel_Rarely,446,Research & Development,1,4,Life Sciences,2,Female,65,3,2,Manufacturing Director,2,Married,,15701,6,Y,No,12,3,2,80,1,,2,2,6,5,4,3
1944,No,49.0,Travel_Rarely,1245,Research & Development,18,4,,4,Male,58,2,5,Research Director,3,Divorced,19502.0,2125,1,Y,Yes,17,3,3,80,1,,5,3,31,9,0,9
1945,No,24.0,Travel_Rarely,691,Research & Development,23,3,Medical,2,Male,89,4,1,Research Scientist,4,Married,2725.0,21630,1,Y,Yes,11,3,2,80,2,6.0,3,3,6,5,1,4
1946,No,26.0,Travel_Rarely,703,Sales,28,2,Marketing,1,Male,66,3,2,Sales Executive,2,Married,,7428,1,Y,No,20,4,4,80,2,6.0,5,4,5,3,1,4
1947,No,,Travel_Rarely,823,Research & Development,17,2,Other,4,Male,94,2,1,Laboratory Technician,2,Married,2127.0,9100,1,Y,No,21,4,4,80,1,1.0,2,3,1,0,0,0
1948,No,50.0,Travel_Frequently,1246,Human Resources,3,3,Medical,1,Male,99,3,5,Manager,2,Married,18200.0,7999,1,Y,No,11,3,3,80,1,,2,3,32,5,10,7
1949,No,25.0,Travel_Rarely,622,Sales,13,1,Medical,2,Male,40,3,1,Sales Representative,3,Married,,26376,1,Y,No,11,3,3,80,0,7.0,1,3,7,4,0,6
1950,Yes,24.0,Travel_Frequently,1287,Research & Development,7,3,Life Sciences,1,Female,55,3,1,Laboratory Technician,3,Married,2886.0,14168,1,Y,Yes,16,3,4,80,1,6.0,4,3,6,3,1,2
1951,Yes,30.0,Travel_Frequently,448,Sales,12,4,Life Sciences,2,Male,74,2,1,Sales Representative,1,Married,2033.0,14470,1,Y,No,18,3,3,80,1,1.0,2,4,1,0,0,0
1952,No,34.0,Travel_Rarely,254,Research & Development,1,2,Life Sciences,2,Male,83,2,1,Research Scientist,4,Married,3622.0,22794,1,Y,Yes,13,3,4,80,1,6.0,3,3,6,5,1,3
1953,Yes,,Travel_Rarely,1365,Sales,13,4,Medical,2,Male,46,3,2,Sales Executive,1,Divorced,4233.0,11512,2,Y,No,17,3,3,80,0,9.0,2,1,3,1,1,2
1954,No,35.0,Travel_Rarely,538,Research & Development,25,2,Other,1,Male,54,2,2,Laboratory Technician,4,Single,3681.0,14004,4,Y,No,14,3,4,80,0,9.0,3,3,3,2,0,2
1955,No,31.0,Travel_Rarely,525,Sales,6,4,,1,Male,66,4,2,Sales Executive,4,Divorced,5460.0,6219,4,Y,No,22,4,4,80,2,13.0,4,4,7,7,5,7
1956,No,27.0,Travel_Rarely,798,Research & Development,6,4,Medical,1,Female,66,2,1,Research Scientist,3,Divorced,2187.0,5013,0,Y,No,12,3,3,80,2,,5,2,5,3,0,3
1957,No,37.0,Travel_Rarely,558,Sales,2,3,Marketing,4,Male,75,3,2,Sales Executive,3,Married,,3010,4,Y,Yes,11,3,3,80,1,17.0,3,2,3,0,1,0
1958,No,20.0,Travel_Rarely,959,Research & Development,1,3,Life Sciences,4,Female,83,2,1,Research Scientist,2,Single,,11757,1,Y,No,13,3,4,80,0,1.0,0,4,1,0,0,0
1959,No,42.0,Travel_Rarely,622,Research & Development,2,4,Life Sciences,3,Female,81,3,2,Healthcare Representative,4,Married,4089.0,5718,1,Y,No,13,3,2,80,2,,4,3,10,2,2,2
1960,No,43.0,Travel_Rarely,782,Research & Development,6,4,Other,2,Male,50,2,4,Research Director,4,Divorced,16627.0,2671,4,Y,Yes,14,3,3,80,1,21.0,3,2,1,0,0,0
1961,No,38.0,Travel_Rarely,362,Research & Development,1,1,Life Sciences,3,Female,43,3,1,Research Scientist,1,Single,2619.0,14561,3,Y,No,17,3,4,80,0,8.0,3,2,0,0,0,0
1962,No,,Travel_Frequently,1001,Research & Development,9,5,Medical,4,Male,72,3,2,Laboratory Technician,3,Divorced,,19627,3,Y,Yes,13,3,2,80,1,10.0,3,3,8,7,4,7
1963,No,48.0,Travel_Rarely,1236,Research & Development,1,4,Life Sciences,4,Female,40,2,4,Manager,1,Married,15402.0,17997,7,Y,No,11,3,1,80,1,21.0,3,1,3,2,0,2
1964,No,44.0,Travel_Rarely,1112,Human Resources,1,4,,1,Female,50,2,2,Human Resources,3,Single,5985.0,26894,4,Y,No,11,3,2,80,0,,1,4,2,2,0,2
1965,No,34.0,Travel_Rarely,204,Sales,14,3,,3,Female,31,3,1,Sales Representative,3,Divorced,2579.0,2912,1,Y,Yes,18,3,4,80,2,8.0,3,3,8,2,0,6
1966,Yes,27.0,Travel_Rarely,1420,Sales,2,1,Marketing,3,Male,85,3,1,Sales Representative,1,Divorced,3041.0,16346,0,Y,No,11,3,2,80,1,5.0,3,3,4,3,0,2
1967,No,21.0,Travel_Rarely,1343,Sales,22,1,Technical Degree,3,Male,49,3,1,Sales Representative,3,Single,,24444,1,Y,No,11,3,3,80,0,3.0,2,3,3,2,1,2
1968,No,44.0,Travel_Rarely,1315,Research & Development,3,4,Other,4,Male,35,3,5,Manager,4,Married,19513.0,9358,4,Y,Yes,12,3,1,80,1,26.0,2,4,2,2,0,1
1969,No,22.0,Travel_Rarely,604,Research & Development,6,1,Medical,1,Male,69,3,1,Research Scientist,3,Married,2773.0,12145,0,Y,No,20,4,4,80,0,3.0,3,3,2,2,2,2
1970,No,33.0,Travel_Rarely,1216,Sales,8,4,,3,Male,39,3,2,Sales Executive,3,Divorced,,20431,0,Y,No,12,3,4,80,0,,3,3,5,0,1,2
1971,No,32.0,Travel_Rarely,646,Research & Development,9,4,Life Sciences,1,Female,92,3,2,Research Scientist,4,Married,6322.0,18089,1,Y,Yes,12,3,4,80,1,,2,2,6,4,0,5
1972,No,30.0,Travel_Frequently,160,Research & Development,3,3,Medical,3,Female,71,3,1,Research Scientist,3,Divorced,2083.0,22653,1,Y,No,20,4,3,80,1,1.0,2,3,1,0,0,0
1973,No,53.0,Travel_Rarely,238,Sales,1,1,,4,Female,34,3,2,Sales Executive,1,Single,8381.0,7507,7,Y,No,20,4,4,80,0,18.0,2,4,14,7,8,10
1974,No,34.0,Travel_Rarely,1397,Research & Development,1,5,,2,Male,42,3,1,Research Scientist,4,Married,2691.0,7660,1,Y,No,12,3,4,80,1,,4,2,10,9,8,8
1975,Yes,45.0,Travel_Frequently,306,Sales,26,4,Life Sciences,1,Female,100,3,2,Sales Executive,1,Married,4286.0,5630,2,Y,No,14,3,4,80,2,5.0,4,3,1,1,0,0
1976,No,26.0,Travel_Rarely,991,Research & Development,6,3,Life Sciences,3,Female,71,3,1,Laboratory Technician,4,Married,,17759,1,Y,Yes,13,3,3,80,1,3.0,2,3,3,2,0,2
1977,No,37.0,Travel_Rarely,482,Research & Development,3,3,Other,3,Male,36,3,3,Manufacturing Director,3,Married,9434.0,9606,1,Y,No,15,3,3,80,1,,2,3,10,7,7,8
1978,No,29.0,Travel_Rarely,1176,Sales,3,2,Medical,2,Female,62,3,2,Sales Executive,3,Married,5561.0,3487,1,Y,No,14,3,1,80,1,6.0,5,2,6,0,1,2
1979,No,35.0,Travel_Rarely,1017,Research & Development,6,4,Life Sciences,2,Male,82,1,2,Research Scientist,4,Single,6646.0,19368,1,Y,No,13,3,2,80,0,17.0,3,3,17,11,11,8
1980,No,33.0,Travel_Frequently,1296,Research & Development,6,3,Life Sciences,3,Male,30,3,2,Healthcare Representative,4,Divorced,7725.0,5335,3,Y,No,23,4,3,80,1,15.0,2,1,13,11,4,7
1981,No,54.0,Travel_Rarely,397,Human Resources,19,4,Medical,3,Male,88,3,3,Human Resources,2,Married,10725.0,6729,2,Y,No,15,3,3,80,1,,1,4,9,7,7,1
1982,No,36.0,Travel_Rarely,913,Research & Development,9,2,,2,Male,48,2,2,Manufacturing Director,2,Divorced,8847.0,13934,2,Y,Yes,11,3,3,80,1,13.0,2,3,3,2,0,2
1983,No,27.0,Travel_Rarely,1115,Research & Development,3,4,,1,Male,54,2,1,Research Scientist,4,Single,2045.0,15174,0,Y,No,13,3,4,80,0,5.0,0,3,4,2,1,1
1984,Yes,20.0,Travel_Rarely,1362,Research & Development,10,1,Medical,4,Male,32,3,1,Research Scientist,3,Single,1009.0,26999,1,Y,Yes,11,3,4,80,0,1.0,5,3,1,0,1,1
